HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0100291	Abnormality of central somatosensory evoked potentials	异常的中枢体感诱发电位		
HP:0100292	Amyloidosis of peripheral nerves	周围神经的淀粉样变性病	The presence of amyloid deposition in the nerves of the peripheral nervous system.	校对中...
HP:0100293	Muscle fiber hypertrophy	肌纤维肥厚		
HP:0100295	Muscle fiber atrophy	肌纤维萎缩		
HP:0100296	Perifascicular muscle fiber atrophy	肌束周围肌纤维萎缩		
HP:0100297	Increased endomysial connective tissue	肌内膜结缔组织增加	An increased volume of the endomysium, which is a connective tissue sheath that surrounds each muscule fiber. Together, bundles of muscle fibers form a fasciculus, surrounded by another layer of connective tissue called the perimysium.	校对中...
HP:0100298	Motheaten muscle fibers	虫噬样肌纤维		
HP:0100299	Muscle fiber inclusion bodies	肌纤维包涵体		
HP:0100300	Desmin bodies	结蛋白体		
HP:0100301	Muscle fiber tubular inclusions	肌纤维管状包涵体	Unusual regions of densely packed membranous tubules known as tubular aggregates which present as membranous inclusions, derived from membranes of sarcoplasmic reticulum and mitochondria, containing miscellaneous proteins with a variety of enzymatic activities.	校对中...
HP:0100302	Muscle fiber tubuloreticular inclusions	肌纤维管网状包涵体		
HP:0100303	Muscle fiber cytoplasmatic inclusion bodies	肌纤维胞质包涵体	The presence of inclusion bodies within the cytoplasm of muscle cells. Inclusion bodies are aggregates (deposits) or stainable material, usually misfolded proteins.	校对中...
HP:0100304	Muscle fiber intranuclear inclusion bodies	肌纤维核内包涵体	The presence of inclusion bodies within the nucleus of muscle cells. Inclusion bodies are aggregates (deposits) or stainable material, usually misfolded proteins.	校对中...
HP:0100305	Ring fibers	环状肌纤维	Ring fibers are formed by a bundle of peripheral myofibrils which are circumferentially oriented such that they encircle the internal portion of the sarcoplasm which is normal in structure and orientation.	校对中...
HP:0100306	Muscle fiber hyaline bodies	肌纤维透明小体		
HP:0100307	Cerebellar hemisphere hypoplasia	小脑半球发育不全		
HP:0100308	Cerebral cortical hemiatrophy	大脑皮层偏侧萎缩	Atrophy of one side of the brain, characterized by findings including thinning of the cerebral cortex, reduced volume of the cerebral white matter with abnormal myelination, and enlargement of the ispilateral fourth ventricle.	校对中...
HP:0100309	Subdural hemorrhage	硬膜下出血	Hemorrhage occurring between the dura mater and the arachnoid mater.	校对中...
HP:0100310	Epidural hemorrhage	硬膜外出血	Hemorrhage occurring between the dura mater and the skull.	校对中...
HP:0100311	Cerebral ventricular adhesions	脑室粘连	Bands of scar-like tisssue that hve formed within a cerebral ventricle.	校对中...
HP:0100312	Cerebral germinoma	脑生殖细胞瘤	The presence of a germ cell tumor of the cerebrum.	校对中...
HP:0100313	Cerebral granulomatosis	脑肉芽肿	Cerebral inflammation involving a granulomatous response, i.e., a non-specific inflammatory response involving granulomas, defined as a compact organized collection of mature mononuclear phagocytes including epithelioid and giant cells.	校对中...
HP:0100314	Cerebral inclusion bodies	脑包涵体	Nuclear or cytoplasmic aggregates of stainable substances within cells of the brain.	校对中...
HP:0100315	Lewy bodies	路易体		
HP:0100316	Hirano bodies	平野小体	Intracellular aggregates of actin and actin-associated proteins within nerve cells.	校对中...
HP:0100317	Argyrophilic inclusion bodies	嗜银包涵体	Presence of abundant argyrophilic grains and coiled bodies on microscopic examination of brain tissue.	校对中...
HP:0100318	Lafora bodies	小体	An intraneuronal inclusion body composed of acid mucopolysaccharides.	校对中...
HP:0100319	Cerebral hyaline bodies	脑透明小体/脑玻璃样小体	Cerebral eosinophilic, discrete, intracytoplasmatic inclusions of unknown significance.	校对中...
HP:0100320	Rosenthal fibers	罗森塔尔纤维	Thick, elongated, worm-like or corkscrew eosinophilic bundle that are found on H&E staining of the brain in the presence of long standing gliosis, occasional tumors, and some metabolic disorders.	校对中...
HP:0100321	Abnormal dentate nucleus morphology	齿状核形态异常	An abnormality of the dentate nucleus.	校对中...
HP:0100322	Aplasia of the pyramidal tract	锥体束的发育缺陷		
HP:0100323	Juvenile aseptic necrosis	青少年型无菌性坏死	Juvenile aseptic necrosis comprises a group of orthopedic diseases characterized by interruption of the blood supply of a bone, followed by localized bony necrosis most often of the epiphyses of bones of children or teenagers.	校对中...
HP:0100324	Scleroderma	硬皮病	A chronic autoimmune phenomenon characterized by fibrosis (or hardening) and vascular alterations of the skin.	校对中...
HP:0100326	Immunologic hypersensitivity	免疫过敏	Immunological states where the immune system produces harmful responses upon reexposure to sensitising antigens.	校对中...
HP:0100327	Cow milk allergy	牛奶过敏	Hypersensitivity in form of an adverse immune reaction against cow milk protein.	校对中...
HP:0100328	Carpometacarpal synostosis	腕掌骨骨性融合	Fusion involving carpal and metacarpal bones.	校对中...
HP:0100329	Tarsometatarsal synostosis	跗跖关节骨性融合		
HP:0100333	Unilateral cleft lip	单侧唇裂	A non-midline cleft of the upper lip on one side only.	校对中...
HP:0100334	Unilateral cleft palate	单侧腭裂		
HP:0100335	Non-midline cleft lip	非中线唇裂	Clefting of the upper lip affecting the lateral portions of the upper lip rather than the midline/median region.	校对中...
HP:0100336	Bilateral cleft lip	双侧唇裂	A non-midline cleft of the upper lip on the left and right sides.	校对中...
HP:0100337	Bilateral cleft palate	双侧腭裂	Nonmidline cleft palate on the left and right sides.	校对中...
HP:0100338	Non-midline cleft palate	非中线腭裂		
HP:0100339	Abnormality of the os naviculare pedis	足舟骨异常		
HP:0100340	Fibular deviation of the 4th toe	第四趾腓侧偏移		
HP:0100341	Tibial deviation of the 4th toe	第四趾胫侧偏移		
HP:0100342	Fibular deviation of the 3rd toe	第三趾腓侧偏移		
HP:0100343	Tibial deviation of the 3rd toe	第三趾胫侧偏移		
HP:0100344	Fibular deviation of the 2nd toe	第二趾腓侧偏移		
HP:0100345	Tibial deviation of the 2nd toe	第二趾胫侧偏移		
HP:0100346	Fibular deviation of the 5th toe	第五趾腓侧偏移		
HP:0100347	Tibial deviation of the 5th toe	第五趾胫侧偏移		
HP:0100348	Contracture of the proximal interphalangeal joint of the 2nd toe	第二趾近端趾间关节挛缩	The proximal interphalangeal joint of the 2nd toe cannot be straightened actively or passively.	校对中...
HP:0100349	Contracture of the proximal interphalangeal joint of the 3rd toe	第三趾近端趾间关节挛缩	The proximal interphalangeal joint of the 3rd toe cannot be straightened actively or passively.	校对中...
HP:0100350	Contracture of the proximal interphalangeal joint of the 4th toe	第四趾近端趾间关节挛缩	The proximal interphalangeal joint of the 4th toe cannot be straightened actively or passively.	校对中...
HP:0100351	Contractures of the proximal interphalangeal joint of the 5th toe	第五趾近端趾间关节挛缩	The proximal interphalangeal joint of the fifth toe cannot be straightened actively or passively.	校对中...
HP:0100352	Contracture of the distal interphalangeal joint of the 2nd toe	第二趾远端趾间关节挛缩	The distal interphalangeal joint of the 2nd toe cannot be straightened actively or passively.	校对中...
HP:0100353	Contracture of the distal interphalangeal joint of the 3rd toe	第三趾远端趾间关节挛缩	The distal interphalangeal joint of the 3rd toe cannot be straightened actively or passively.	校对中...
HP:0100354	Contracture of the distal interphalangeal joint of the 4th toe	第四趾远端趾间关节挛缩	The distal interphalangeal joint of the 4th toe cannot be straightened actively or passively.	校对中...
HP:0100355	Contractures of the distal interphalangeal joint of the 5th toe	第五趾远端趾间关节挛缩	The distal interphalangeal joint of the 5th toe cannot be straightened actively or passively.	校对中...
HP:0100356	Contracture of the metatarsophalangeal joint of the 2nd toe	第二趾跖趾关节挛缩	The joint between the second metatarsal and the proximal phalanx of the 2nd toe cannot be straightened actively or passively.	校对中...
HP:0100357	Contracture of the metatarsophalangeal joint of the 3rd toe	第三趾跖趾关节挛缩	The joint between the second metatarsal and the proximal phalanx of the 3rd toe cannot be straightened actively or passively.	校对中...
HP:0100358	Contracture of the metatarsophalangeal joint of the 4th toe	第四趾跖趾关节挛缩	The joint between the second metatarsal and the proximal phalanx of the 4th toe cannot be straightened actively or passively.	校对中...
HP:0100359	Contracture of the metatarsophalangeal joint of the 5th toe	第五趾跖趾关节挛缩	The joint between the second metatarsal and the proximal phalanx of the 5th toe cannot be straightened actively or passively.	校对中...
HP:0100360	Contractures of the joints of the upper limbs	上肢关节挛缩		
HP:0100362	Aplasia of the phalanges of the 3rd toe	第三趾趾骨发育不全		
HP:0100363	Aplasia of the phalanges of the 4th toe	第四趾趾骨发育不全		
HP:0100364	Aplasia of the phalanges of the 5th toe	第五趾趾骨发育不全		
HP:0100366	Short phalanx of the 3rd toe	第三趾趾骨短	Developmental hypoplasia of the phalanx of third toe.	校对中...
HP:0100367	Short phalanx of the 4th toe	第四趾趾骨短	Developmental hypoplasia of one or more phalanx of fourth toe.	校对中...
HP:0100368	Short phalanx of the 5th toe	第五趾趾骨短	Developmental hypoplasia of one or more phalanx of little toe.	校对中...
HP:0100369	Aplasia/Hypoplasia of the distal phalanx of the 3rd toe	第三趾末节趾骨发育不全/发育不良		
HP:0100370	Aplasia/Hypoplasia of the distal phalanx of the 4th toe	第四趾末节趾骨发育不全/发育不良		
HP:0100371	Aplasia/Hypoplasia of the distal phalanx of the 5th toe	第五趾末节趾骨发育不全/发育不良		
HP:0100372	Aplasia/Hypoplasia of the middle phalanx of the 3rd toe	第三趾中节趾骨发育不全/发育不良		
HP:0100373	Aplasia/Hypoplasia of the middle phalanx of the 4th toe	第四趾第三节趾骨发育不全/发育不良		
HP:0100374	Aplasia/Hypoplasia of the middle phalanx of the 5th toe	第五趾中节趾骨发育不全/发育不良		
HP:0100375	Aplasia/hypoplasia of the proximal phalanx of the 3rd toe	第三趾近节趾骨发育不全/发育不良	Absence (agenesis) or underdevelopment of one or more of the proximal phalanges of the 3rd toe.	校对中...
HP:0100376	Aplasia/hypoplasia of the proximal phalanx of the 4th toe	第四趾近节趾骨发育不全/发育不良	Absence (agenesis) or underdevelopment of one or more of the proximal phalanges of the 4th toe.	校对中...
HP:0100377	Aplasia/hypoplasia of the proximal phalanx of the 5th toe	第五趾近节趾骨发育不全/发育不良	Absence (agenesis) or underdevelopment of one or more of the proximal phalanges of the 5th toe.	校对中...
HP:0100378	Absent distal phalanx of the 3rd toe	第三趾末节趾骨缺失	Developmental aplasia of the distal phalanx of third toe.	校对中...
HP:0100379	Aplasia of the distal phalanx of the 4th toe	第四趾末节趾骨发育不全		
HP:0100380	Aplasia of the distal phalanx of the 5th toe	第五趾末节趾骨发育不全		
HP:0100381	Absent middle phalanx of the 3rd toe	第三趾中节趾骨缺失	Developmental aplasia of the middle phalanx of third toe.	校对中...
HP:0100382	Aplasia of the middle phalanx of the 4th toe	第四趾中节趾骨发育不全		
HP:0100383	Aplasia of the middle phalanx of the 5th toe	第五趾中节趾骨发育不全		
HP:0100384	Absent proximal phalanx of the 3rd toe	第三趾近节趾骨缺如	Absence of proximal phalanx of third toe, owing to a congenital defect of development.	校对中...
HP:0100385	Aplasia of the proximal phalanx of the 4th toe	第四趾近节趾骨发育不全		
HP:0100386	Aplasia of the proximal phalanx of the 5th toe	第五趾近节趾骨发育不全		
HP:0100387	Aplasia of the middle phalanges of the toes	中节趾骨发育不全		
HP:0100388	Aplasia of the proximal phalanges of the toes	近节趾骨发育不全		
HP:0100389	Short distal phalanx of the 3rd toe	第三趾末节趾骨短	Developmental hypoplasia of the distal phalanx of third toe.	校对中...
HP:0100390	Short distal phalanx of the 4th toe	第四趾末节趾骨短	Developmental hypoplasia of the distal phalanx of fourth toe.	校对中...
HP:0100391	Short distal phalanx of the 5th toe	第五趾末节趾骨短	Developmental hypoplasia of the distal phalanx of little toe.	校对中...
HP:0100392	Short middle phalanx of the 3rd toe	第三趾中节趾骨短	Developmental hypoplasia of the middle phalanx of third toe.	校对中...
HP:0100393	Short middle phalanx of the 4th toe	第四趾中节趾骨短	Developmental hypoplasia of the middle phalanx of fourth toe.	校对中...
HP:0100394	Short middle phalanx of the 5th toe	第五趾中节趾骨短	Developmental hypoplasia of the middle phalanx of the 5th toe.	校对中...
HP:0100395	Short proximal phalanx of the 3rd toe	第三趾近节趾骨短	Abnormal reduction in length of proximal phalanx of third toe.	校对中...
HP:0100396	Short proximal phalanx of the 4th toe	第四趾近节趾骨短	Developmental hypoplasia of the proximal phalanx of fourth toe.	校对中...
HP:0100397	Short proximal phalanx of the 5th toe	第五趾近节趾骨短	Developmental hypoplasia of the proximal phalanx of fifth toe.	校对中...
HP:0100398	Duplication of the distal phalanx of the 3rd toe	第三趾末节趾骨重复	Partial or complete duplication of distal phalanx of third toe.	校对中...
HP:0100399	Duplication of the distal phalanx of the 4th toe	第四趾末节趾骨重复	Partial or complete duplication of the distal phalanx of fourth toe.	校对中...
HP:0100400	Duplication of the distal phalanx of the 5th toe	第五趾末节趾骨重复	Partial or complete duplication of the distal phalanx of little toe.	校对中...
HP:0100401	Duplication of the middle phalanx of the 3rd toe	第三趾中节趾骨重复	Partial or complete duplication of middle phalanx of third toe.	校对中...
HP:0100402	Duplication of the middle phalanx of the 4th toe	第四趾中节趾骨重复	Partial or complete duplication of middle phalanx of fourth toe.	校对中...
HP:0100403	Duplication of the middle phalanx of the 5th toe	第五趾中节趾骨重复	Partial or complete duplication of the middle phalanx of the 5th toe.	校对中...
HP:0100404	Duplication of the proximal phalanx of the 3rd toe	第三趾近节趾骨重复	Partial or complete duplication of proximal phalanx of third toe.	校对中...
HP:0100405	Duplication of the proximal phalanx of the 4th toe	第四趾近节趾骨重复	Partial or complete duplication of the proximal phalanx of fourth toe.	校对中...
HP:0100406	Duplication of the proximal phalanx of the 5th toe	第五趾近节趾骨重复	Partial or complete duplication of the proximal phalanx of fifth toe.	校对中...
HP:0100407	Complete duplication of the distal phalanx of the 3rd toe	第三趾末节趾骨完全重复	Complete duplication of distal phalanx of third toe.	校对中...
HP:0100408	Complete duplication of the distal phalanx of the 4th toe	第四趾末节趾骨完全重复	Complete duplication of the distal phalanx of fourth toe.	校对中...
HP:0100409	Complete duplication of the distal phalanx of the 5th toe	第五趾末节趾骨完全重复	Complete duplication of the distal phalanx of little toe.	校对中...
HP:0100410	Complete duplication of the middle phalanx of the 3rd toe	第三趾中节趾骨完全重复	Complete duplication of middle phalanx of third toe.	校对中...
HP:0100411	Complete duplication of the middle phalanx of the 4th toe	第四趾中节趾骨完全重复	Complete duplication of middle phalanx of fourth toe.	校对中...
HP:0100412	Complete duplication of the middle phalanx of the 5th toe	第五趾中节趾骨完全重复	Complete duplication of the middle phalanx of the 5th toe.	校对中...
HP:0100413	Complete duplication of the proximal phalanx of the 3rd toe	第三趾近节趾骨完全重复	Complete duplication of proximal phalanx of third toe.	校对中...
HP:0100414	Complete duplication of the proximal phalanx of the 4th toe	第四趾近节趾骨完全重复		
HP:0100415	Complete duplication of the proximal phalanx of the 5th toe	第五趾近节趾骨完全重复	Complete duplication of the proximal phalanx of fifth toe.	校对中...
HP:0100416	Partial duplication of the distal phalanx of the 3rd toe	第三趾末节趾骨部分重复	Partial duplication of distal phalanx of third toe.	校对中...
HP:0100417	Partial duplication of the distal phalanx of the 4th toe	第四趾末节趾骨部分重复	Partial duplication of the distal phalanx of fourth toe.	校对中...
HP:0100418	Partial duplication of the distal phalanx of the 5th toe	第五趾末节趾骨部分重复	Partial duplication of the distal phalanx of little toe.	校对中...
HP:0100419	Partial duplication of the middle phalanx of the 3rd toe	第三趾中节趾骨部分重复	Partial duplication of middle phalanx of third toe.	校对中...
HP:0100420	Partial duplication of the middle phalanx of the 4th toe	第四趾中节趾骨部分重复	Partial duplication of middle phalanx of fourth toe.	校对中...
HP:0100421	Partial duplication of the middle phalanx of the 5th toe	第五趾中节趾骨部分重复	Partial duplication of the middle phalanx of the 5th toe.	校对中...
HP:0100422	Partial duplication of the proximal phalanx of the 3rd toe	第三趾近节趾骨部分重复·	Partial duplication of proximal phalanx of third toe.	校对中...
HP:0100423	Partial duplication of the proximal phalanx of the 4th toe	第四趾近节趾骨部分重复		
HP:0100424	Partial duplication of the proximal phalanx of the 5th toe	第五趾近节趾骨部分重复	Partial duplication of the proximal phalanx of fifth toe.	校对中...
HP:0100425	Broad middle phalanx of the 3rd toe	第三趾中节趾骨变宽		
HP:0100426	Broad middle phalanx of the 4th toe	第四趾中节趾骨变宽		
HP:0100427	Broad middle phalanx of the 5th toe	第五趾中节趾骨变宽		
HP:0100428	Broad proximal phalanx of the 3rd toe	第三趾近节趾骨变宽		
HP:0100429	Broad proximal phalanx of the 4th toe	第四趾近节趾骨变宽		
HP:0100430	Broad proximal phalanx of the 5th toe	第五趾近节趾骨变宽		
HP:0100431	Broad distal phalanx of the 3rd toe	第三趾末节趾骨变宽		
HP:0100432	Broad distal phalanx of the 4th toe	第四趾末节趾骨变宽		
HP:0100433	Broad distal phalanx of the 5th toe	第五趾末节趾骨变宽		
HP:0100434	Bullet-shaped middle phalanx of the 3rd toe	第三趾子弹形中节趾骨	An abnormal morphology of the middle phalanx of the third toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100435	Bullet-shaped middle phalanx of the 4th toe	第四趾子弹形中节趾骨	An abnormal morphology of the middle phalanx of the fourth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100436	Bullet-shaped middle phalanx of the 5th toe	第五趾子弹形中节趾骨	An abnormal morphology of the middle phalanx of the fifth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100437	Bullet-shaped proximal phalanx of the 3rd toe	第三趾子弹形近节趾骨	An abnormal morphology of the proximal phalanx of the third toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100438	Bullet-shaped proximal phalanx of the 4th toe	第四趾子弹形近节趾骨	An abnormal morphology of the proximal phalanx of the fourth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100439	Bullet-shaped proximal phalanx of the 5th toe	第五趾子弹形近节趾骨	An abnormal morphology of the proximal phalanx of the fifth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100440	Bullet-shaped distal phalanx of the 3rd toe	第三趾子弹形末节趾骨	An abnormal morphology of the distal phalanx of the third toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100441	Bullet-shaped distal phalanx of the 4th toe	第四趾子弹形末节趾骨	An abnormal morphology of the distal phalanx of the fourth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100442	Bullet-shaped distal phalanx of the 5th toe	第五趾子弹形末节趾骨	An abnormal morphology of the distal phalanx of the fifth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	校对中...
HP:0100443	Curved middle phalanx of the 3rd toe	第三趾中节趾骨弯曲	A deviation from the normal straight form of the middle phalanx of the third toe.	校对中...
HP:0100444	Curved middle phalanx of the 4th toe	第四趾中节趾骨弯曲	A deviation from the normal straight form of the middle phalanx of the fourth toe.	校对中...
HP:0100445	Curved middle phalanx of the 5th toe	第五趾中节趾骨弯曲	A deviation from the normal straight form of the middle phalanx of the fifth toe.	校对中...
HP:0100446	Curved proximal phalanx of the 3rd toe	第三趾中节趾骨弯曲	A deviation from the normal straight form of the proximal phalanx of the third toe.	校对中...
HP:0100447	Curved proximal phalanx of the 4th toe	第四趾近节趾骨弯曲	A deviation from the normal straight form of the proximal phalanx of the fourth toe.	校对中...
HP:0100448	Curved proximal phalanx of the 5th toe	第五趾近节趾骨弯曲	A deviation from the normal straight form of the proximal phalanx of the fifth toe.	校对中...
HP:0100449	Curved distal phalanx of the 3rd toe	第三趾末节趾骨弯曲	A deviation from the normal straight form of the distal phalanx of the third toe.	校对中...
HP:0100450	Curved distal phalanx of the 4th toe	第四趾末节趾骨弯曲	A deviation from the normal straight form of the distal phalanx of the fourth toe.	校对中...
HP:0100451	Curved distal phalanx of the 5th toe	第五趾末节趾骨弯曲	A deviation from the normal straight form of the distal phalanx of the fifth toe.	校对中...
HP:0100452	Osteolytic defects of the middle phalanx of the 3rd toe	第三趾中节趾骨溶骨性缺陷		
HP:0100453	Osteolytic defects of the middle phalanx of the 4th toe	第四趾中节趾骨溶骨性缺陷		
HP:0100454	Osteolytic defects of the middle phalanx of the 5th toe	第五趾中节趾骨溶骨性缺陷		
HP:0100455	Osteolytic defects of the proximal phalanx of the 3rd toe	第三趾近节趾骨溶骨性缺陷		
HP:0100456	Osteolytic defects of the proximal phalanx of the 4th toe	第四趾近节趾骨溶骨性缺陷		
HP:0100457	Osteolytic defects of the proximal phalanx of the 5th toe	第五趾近节趾骨溶骨性缺陷		
HP:0100458	Osteolytic defects of the distal phalanx of the 3rd toe	第三趾末节趾骨溶骨性缺陷		
HP:0100459	Osteolytic defects of the distal phalanx of the 4th toe	第四趾末节趾骨溶骨性缺陷		
HP:0100460	Osteolytic defects of the distal phalanx of the 5th toe	第五趾末节趾骨溶骨性缺陷		
HP:0100461	Patchy sclerosis of the middle phalanx of the 3rd toe	第三趾中节趾骨斑片状骨硬化		
HP:0100462	Patchy sclerosis of the middle phalanx of the 4th toe	第四趾中节趾骨斑片状骨硬化	Uneven increase in bone density of the middle phalanx of the fourth toe. This can take on many forms depending on severity and distribution as can be seen on x-rays.	校对中...
HP:0100463	Patchy sclerosis of the middle phalanx of the 5th toe	第五趾中节趾骨斑片状骨硬化	Uneven increase in bone density of the middle phalanx of the fifth toe. This can take on many forms depending on severity and distribution as can be seen on x-rays.	校对中...
HP:0100464	Patchy sclerosis of the proximal phalanx of the 3rd toe	第三趾近节趾骨斑片状骨硬化		
HP:0100465	Patchy sclerosis of the proximal phalanx of the 4th toe	第四趾近节趾骨斑片状骨硬化	Uneven increase in bone density of the proximal phalanx of the fourth toe. This can take on many forms depending on severity and distribution as can be seen on x-rays.	校对中...
HP:0100466	Patchy sclerosis of the proximal phalanx of the 5th toe	第五趾近节趾骨斑片状骨硬化	Uneven increase in bone density of the proximal phalanx of the fifth toe. This can take on many forms depending on severity and distribution as can be seen on x-rays.	校对中...
HP:0100467	Patchy sclerosis of the distal phalanx of the 3rd toe	第三趾末节趾骨斑片状骨硬化		
HP:0100468	Patchy sclerosis of the distal phalanx of the 4th toe	第四趾末节趾骨斑片状骨硬化	Uneven increase in bone density of the distal phalanx of the fourth toe. This can take on many forms depending on severity and distribution as can be seen on x-rays.	校对中...
HP:0100469	Patchy sclerosis of the distal phalanx of the 5th toe	第五趾末节趾骨斑片状骨硬化	Patchy (irregular) increase in bone density of the distal phalanx of the fifth toe. This can take on many forms depending on severity and distribution as can be seen on x-rays.	校对中...
HP:0100470	Symphalangism affecting the middle phalanx of the 3rd toe	第三趾中节趾趾关节融合		
HP:0100471	Symphalangism affecting the middle phalanx of the 4th toe	第四趾中节趾关节融合		
HP:0100472	Symphalangism affecting the middle phalanx of the 5th toe	第五趾中节趾关节融合		
HP:0100473	Symphalangism affecting the proximal phalanx of the 3rd toe	第三趾近节趾关节融合		
HP:0100474	Symphalangism affecting the proximal phalanx of the 4th toe	第四趾近节趾关节融合		
HP:0100475	Symphalangism affecting the proximal phalanx of the 5th toe	第五趾近节趾关节融合		
HP:0100476	Symphalangism affecting the distal phalanx of the 3rd toe	第三趾末节趾关节融合		
HP:0100477	Symphalangism affecting the distal phalanx of the 4th toe	第四趾末节趾关节融合		
HP:0100478	Symphalangism affecting the distal phalanx of the 5th toe	第五趾末节趾关节融合		
HP:0100480	Proximal/middle symphalangism of 3rd toe	第三趾近节/中节趾关节融合	Bony fusion of the middle and proximal phalanges of the 3rd toe.	校对中...
HP:0100481	Proximal/middle symphalangism of 4th toe	第四趾近节/中节趾关节融合	Bony fusion of the middle and proximal phalanges of the 4th toe.	校对中...
HP:0100482	Proximal/middle symphalangism of 5th toe	第五趾近节/中节趾关节融合	Bony fusion of the middle and proximal phalanges of the 5th toe.	校对中...
HP:0100483	Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal	第二趾近节趾骨与第二跖骨关节融合		
HP:0100484	Symphalangism of the proximal phalanx of the 3rd toe with the 3rd metatarsal	第三趾近节趾骨与第三跖骨跖趾关节融合		
HP:0100485	Symphalangism of the proximal phalanx of the 4th toe with the 4th metatarsal	第四趾近节趾骨与第四跖骨趾关节融合		
HP:0100486	Symphalangism of the proximal phalanx of the 5th toe with the 5th metatarsal	第五趾近节趾骨与第五跖骨趾关节融合		
HP:0100487	Triangular shaped distal phalanx of the 5th toe	第五趾三角形末节趾骨		
HP:0100488	Synostosis of the proximal phalanx of the hallux with the 1st metatarsal	拇趾近节趾骨与第一跖骨融合		
HP:0100489	Proximal/middle symphalangism of 2nd toe	第二趾近节/中节趾关节融合	Bony fusion of the middle and proximal phalanges of the 2nd toe.	校对中...
HP:0100490	Camptodactyly of finger	手指弯曲	The distal interphalangeal joint and/or the proximal interphalangeal joint of the fingers cannot be extended to 180 degrees by either active or passive extension.	校对中...
HP:0100491	Abnormality of lower limb joint	下肢关节异常		
HP:0100492	Joint contractures involving the joints of the feet	脚趾关节挛缩	Contractures of one ore more joints of the feet meaning chronic loss of joint motion due to structural changes in non-bony tissue.	校对中...
HP:0100493	Hypoammonemia	低血氨	A decreased concentration of ammonia in the blood.	校对中...
HP:0100494	Abnormal mast cell morphology	肥大细胞形态异常	Any structural anomaly of mast cells, which are found in almost all tissues and contain numerous basophilic granules and are capable of releasing large amounts of histamine and heparin upon activation.	校对中...
HP:0100495	Mastocytosis	肥大细胞增多症	The presence of an increased number of mast cells and CD34+ mast cell precursors in the body.	校对中...
HP:0100496	Abnormality of the vitamin B3 metabolism	维生素B3代谢异常		
HP:0100497	Vitamin B3 deficiency	维生素B3缺乏症		
HP:0100498	Deviation of toes	脚趾偏离		
HP:0100499	Tibial deviation of toes	脚趾胫侧偏移		
HP:0100500	Fibular deviation of toes	脚趾的腓骨侧偏移		
HP:0100501	Recurrent bronchiolitis	复发性毛细支气管炎	An increased susceptibility to bronchiolitis as manifested by a history of recurrent bronchiolitis.	校对中...
HP:0100502	Vitamin B12 deficiency	维生素B12缺乏症		
HP:0100503	Low levels of vitamin B1	维生素B1缺乏症	A reduced concentration of vitamin B1.	校对中...
HP:0100504	Low levels of vitamin B2	维生素B2缺乏症	A reduced concentration of vitamin B2.	校对中...
HP:0100505	Low levels of vitamin B5	维生素B5缺乏症	A reduced concentration of vitamin B5.	校对中...
HP:0100506	Low levels of vitamin B8	维生素B8缺乏症	A reduced concentration of vitamin B8.	校对中...
HP:0100507	Reduced blood folate concentration	叶酸缺乏症	A reduced circulating concentration of folic acid, which is also known as vitamin B9.	校对中...
HP:0100508	Abnormality of vitamin metabolism	维生素代谢异常	An anomaly in the metabolism of a vitamin.	校对中...
HP:0100509	Abnormality of vitamin C metabolism	维生素C代谢异常		
HP:0100510	Low levels of vitamin C	维生素C缺乏症	A reduced concentration of Vitamin C.	校对中...
HP:0100511	Abnormality of vitamin D metabolism	维生素D代谢异常		
HP:0100512	Low levels of vitamin D	维生素D缺乏症	A reduced concentration of Vitamin D.	校对中...
HP:0100513	Low levels of vitamin E	维生素E缺乏症	A reduced concentration of vitamin E in the blood circulation. Vitamin E is a lipophilic vitamin that is also known as alpha-tocopherol.	校对中...
HP:0100514	Abnormality of vitamin E metabolism	维生素E代谢异常		
HP:0100515	Pollakisuria	尿频	Increased frequency of urination.	校对中...
HP:0100516	Neoplasm of the ureter	输尿管肿瘤	The presence of a neoplasm of the ureter.	校对中...
HP:0100517	Neoplasm of the urethra	尿道肿瘤	The presence of a neoplasm of the urethra.	校对中...
HP:0100518	Dysuria	排尿困难	Painful or difficult urination.	校对中...
HP:0100519	Anuria	无尿症	Absence of urine, clinically classified as below 50ml/day.	校对中...
